Id,Label,content,node_type,node_multiplicity,transcript_id
30,Steps up as team coordinator or leader when needed,Steps up as team coordinator or leader when needed,attribute,1,
31,Thrives in interactive learning environments,Thrives in interactive learning environments,attribute,1,
32,Prefers workshops and collective problem-solving,Prefers workshops and collective problem-solving,attribute,1,
33,Gets frustrated by free-riders in group settings,Gets frustrated by free-riders in group settings,attribute,2,
34,Notices and speaks about free-riders in groups,Notices and speaks about free-riders in groups,attribute,1,
35,Brings enthusiasm and creativity to team settings,Brings enthusiasm and creativity to team settings,attribute,1,
36,Values instructor acknowledgment of good teamwork,Values instructor acknowledgment of good teamwork,attribute,1,
37,The Independent Achiever,"Students who prefer to work solo and often express frustration with group work due to past bad experiences. They are self-reliant, take pride in individual workmanship, and worry about unfair distribution of work and grades in team settings.",persona,1,2
38,Prefers working alone over team collaboration,Prefers working alone over team collaboration,attribute,1,
39,Expresses distrust in group work effectiveness,Expresses distrust in group work effectiveness,attribute,1,
40,Takes pride in individual workmanship and quality,Takes pride in individual workmanship and quality,attribute,1,
41,Demonstrates self-reliance in academic tasks,Demonstrates self-reliance in academic tasks,attribute,1,
42,Rates group work assignments poorly,Rates group work assignments poorly,attribute,1,
43,Worries about unfair grade distribution in teams,Worries about unfair grade distribution in teams,attribute,1,
44,Assumes extra work to ensure quality outcomes,Assumes extra work to ensure quality outcomes,attribute,1,
45,Participates in required group work reluctantly,Participates in required group work reluctantly,attribute,1,
46,Seeks options for individual assessment components,Seeks options for individual assessment components,attribute,1,
47,Values recognition of individual effort within teamwork,Values recognition of individual effort within teamwork,attribute,1,
48,Prefers clear accountability mechanisms in group settings,Prefers clear accountability mechanisms in group settings,attribute,1,
49,Values consistent communication and explanations from instructors,Values consistent communication and explanations from instructors,attribute,3,
50,The International Participant,"Students who need an English-friendly, inclusive program that welcomes participants regardless of native language or background. They depend on English instruction and value cultural inclusion, appreciating when professors explain German-specific references and when peers are open to diverse perspectives.",persona,1,1|3
51,Depends on English-language instruction,Depends on English-language instruction,attribute,1,
52,Values cultural inclusion and diversity,Values cultural inclusion and diversity,attribute,1,
53,Appreciates explanations of German-specific references,Appreciates explanations of German-specific references,attribute,1,
54,Seeks patience and understanding from instructors and peers,Seeks patience and understanding from instructors and peers,attribute,1,
55,Thrives in truly global program environments,Thrives in truly global program environments,attribute,1,
56,Values having classmates from different countries,Values having classmates from different countries,attribute,1,
57,Needs key materials available in English,Needs key materials available in English,attribute,1,
58,Requires guidance with German administrative issues,Requires guidance with German administrative issues,attribute,1,
59,Contributes diverse perspectives to discussions,Contributes diverse perspectives to discussions,attribute,1,
60,Feels satisfied when language barriers don't prevent participation,Feels satisfied when language barriers don't prevent participation,attribute,1,
61,Appreciates inclusive classroom culture,Appreciates inclusive classroom culture,attribute,1,
62,Benefits from brief explanations of local references,Benefits from brief explanations of local references,attribute,1,
63,The Structure & Clarity Seeker,"Students who become anxious or frustrated when things are vague, unorganized, or last-minute. They thrive on clarity, structure, and knowing what to expect, wanting detailed syllabi, clear instructions, and consistent communication.",persona,1,4
64,Becomes anxious with vague or unorganized content,Becomes anxious with vague or unorganized content,attribute,1,
65,Thrives on clear structure and detailed planning,Thrives on clear structure and detailed planning,attribute,1,
66,Wants detailed syllabi and course outlines,Wants detailed syllabi and course outlines,attribute,1,
67,Seeks clear instructions and expectations upfront,Seeks clear instructions and expectations upfront,attribute,1,
68,Plans semester carefully and systematically,Plans semester carefully and systematically,attribute,1,
69,Dislikes sudden changes in exam format or requirements,Dislikes sudden changes in exam format or requirements,attribute,1,
70,Gets frustrated by unclear project briefs,Gets frustrated by unclear project briefs,attribute,1,
71,Shines when courses are well-organized,Shines when courses are well-organized,attribute,1,
72,Appreciates logical flow in lectures with clear agendas,Appreciates logical flow in lectures with clear agendas,attribute,1,
73,Rarely misses deadlines when expectations are clear,Rarely misses deadlines when expectations are clear,attribute,1,
74,Needs transparency in all aspects of teaching,Needs transparency in all aspects of teaching,attribute,1,
75,Requires alignment between taught content and assessments,Requires alignment between taught content and assessments,attribute,1,
76,Depends on structured environment for academic security,Depends on structured environment for academic security,attribute,1,
